Name,Platform,Year of Release,Genre,Publisher,North America Sales,European Union Sales,Japan Sales,Other Sales,Global Sales,Critic Score,Critic Count,User Score,User Count,Developer,Rating,Platform_next,Year of Release_next,Genre_next,Publisher_next,North America Sales_next,European Union Sales_next,Japan Sales_next,Other Sales_next,Global Sales_next,Critic Score_next,Critic Count_next,User Score_next,User Count_next,Developer_next,Rating_next
NBA Street Vol. 2,XB,2003.0,Sports,Electronic Arts,0.62,0.04,0.0,0.02,0.68,89.0,22.0,8.8,24.0,Electronic Arts,E,WiiU,2016.0,Misc,Microsoft Game Studios,0.28,0.17,0.18,0.04,0.68,,,,,,
Minecraft,WiiU,2016.0,Misc,Microsoft Game Studios,0.28,0.17,0.18,0.04,0.68,,,,,,,X360,2007.0,Racing,THQ,0.55,0.08,0.0,0.06,0.68,70.0,43.0,7.1,17.0,Rainbow Studios,E
MX vs. ATV Untamed,X360,2007.0,Racing,THQ,0.55,0.08,0.0,0.06,0.68,70.0,43.0,7.1,17.0,Rainbow Studios,E,X360,2008.0,Role-Playing,Square Enix,0.25,0.2,0.18,0.06,0.68,66.0,49.0,6.9,122.0,Square Enix,M
The Last Remnant,X360,2008.0,Role-Playing,Square Enix,0.25,0.2,0.18,0.06,0.68,66.0,49.0,6.9,122.0,Square Enix,M,XB,2004.0,Sports,Electronic Arts,0.63,0.02,0.0,0.03,0.68,89.0,29.0,8,12.0,EA Sports,E
NCAA Football 2005,XB,2004.0,Sports,Electronic Arts,0.63,0.02,0.0,0.03,0.68,89.0,29.0,8,12.0,EA Sports,E,PS,1997.0,Fighting,GT Interactive,0.38,0.26,0.0,0.04,0.68,,,,,,
Mortal Kombat Mythologies: Sub-Zero,PS,1997.0,Fighting,GT Interactive,0.38,0.26,0.0,0.04,0.68,,,,,,,PS3,2010.0,Platform,Sony Computer Entertainment,0.52,0.08,0.01,0.08,0.68,85.0,46.0,8.8,172.0,Sanzaru Games,E10+
The Sly Collection,PS3,2010.0,Platform,Sony Computer Entertainment,0.52,0.08,0.01,0.08,0.68,85.0,46.0,8.8,172.0,Sanzaru Games,E10+,GC,2003.0,Fighting,Tomy Corporation,0.53,0.14,0.0,0.02,0.68,72.0,21.0,8.1,20.0,Tomy Corporation,T
Naruto: Clash of Ninja,GC,2003.0,Fighting,Tomy Corporation,0.53,0.14,0.0,0.02,0.68,72.0,21.0,8.1,20.0,Tomy Corporation,T,PS4,2014.0,Shooter,505 Games,0.24,0.34,0.0,0.11,0.68,67.0,41.0,7.1,178.0,Rebellion,M
Sniper Elite 3,PS4,2014.0,Shooter,505 Games,0.24,0.34,0.0,0.11,0.68,67.0,41.0,7.1,178.0,Rebellion,M,PS2,2005.0,Action,Ubisoft,0.57,0.02,0.0,0.09,0.68,85.0,46.0,8.5,111.0,Ubisoft Montreal,M
Prince of Persia: The Two Thrones,PS2,2005.0,Action,Ubisoft,0.57,0.02,0.0,0.09,0.68,85.0,46.0,8.5,111.0,Ubisoft Montreal,M,PSP,2007.0,Sports,Sony Computer Entertainment,0.21,0.11,0.28,0.08,0.68,82.0,42.0,8.6,12.0,Clap Hanz,E
Hot Shots Golf: Open Tee 2,PSP,2007.0,Sports,Sony Computer Entertainment,0.21,0.11,0.28,0.08,0.68,82.0,42.0,8.6,12.0,Clap Hanz,E,XB,2005.0,Action,LucasArts,0.54,0.11,0.0,0.03,0.68,,,,,,
Mercenaries: Playground of Destruction,XB,2005.0,Action,LucasArts,0.54,0.11,0.0,0.03,0.68,,,,,,,PS,1998.0,Fighting,SquareSoft,0.25,0.17,0.22,0.04,0.68,,,,,,
Bushido Blade 2,PS,1998.0,Fighting,SquareSoft,0.25,0.17,0.22,0.04,0.68,,,,,,,PS,1998.0,Role-Playing,Konami Digital Entertainment,0.15,0.1,0.38,0.04,0.68,82.0,8.0,8.4,162.0,Konami,T
Suikoden II,PS,1998.0,Role-Playing,Konami Digital Entertainment,0.15,0.1,0.38,0.04,0.68,82.0,8.0,8.4,162.0,Konami,T,PS3,2008.0,Action,Sega,0.32,0.25,0.0,0.11,0.68,42.0,27.0,6.2,45.0,Secret Level,T
Iron Man,PS3,2008.0,Action,Sega,0.32,0.25,0.0,0.11,0.68,42.0,27.0,6.2,45.0,Secret Level,T,XB,2005.0,Sports,Electronic Arts,0.29,0.38,0.0,0.01,0.68,80.0,39.0,7.5,22.0,EA Canada,E
FIFA Soccer 06,XB,2005.0,Sports,Electronic Arts,0.29,0.38,0.0,0.01,0.68,80.0,39.0,7.5,22.0,EA Canada,E,XB,2004.0,Fighting,Electronic Arts,0.51,0.15,0.0,0.02,0.68,85.0,47.0,8.7,20.0,EA Sports,T
Fight Night 2004,XB,2004.0,Fighting,Electronic Arts,0.51,0.15,0.0,0.02,0.68,85.0,47.0,8.7,20.0,EA Sports,T,PS2,2006.0,Racing,Sony Computer Entertainment,0.28,0.22,0.11,0.07,0.68,,,,,,
Tourist Trophy: The Real Riding Simulator,PS2,2006.0,Racing,Sony Computer Entertainment,0.28,0.22,0.11,0.07,0.68,,,,,,,PS2,2002.0,Role-Playing,Atari,0.23,0.18,0.2,0.06,0.68,76.0,24.0,8.9,81.0,CyberConnect2,T
.hack//Mutation Part 2,PS2,2002.0,Role-Playing,Atari,0.23,0.18,0.2,0.06,0.68,76.0,24.0,8.9,81.0,CyberConnect2,T,XOne,2014.0,Shooter,Bethesda Softworks,0.34,0.28,0.0,0.06,0.68,79.0,18.0,7.8,397.0,MachineGames,M
Wolfenstein: The New Order,XOne,2014.0,Shooter,Bethesda Softworks,0.34,0.28,0.0,0.06,0.68,79.0,18.0,7.8,397.0,MachineGames,M,DS,2007.0,Racing,THQ,0.63,0.0,0.0,0.05,0.68,69.0,7.0,6.8,5.0,Rainbow Studios,E
Cars: Mater-National Championship,DS,2007.0,Racing,THQ,0.63,0.0,0.0,0.05,0.68,69.0,7.0,6.8,5.0,Rainbow Studios,E,PSP,2010.0,Action,Warner Bros. Interactive Entertainment,0.14,0.36,0.0,0.18,0.68,71.0,4.0,tbd,,TT Fusion,E10+
LEGO Harry Potter: Years 1-4,PSP,2010.0,Action,Warner Bros. Interactive Entertainment,0.14,0.36,0.0,0.18,0.68,71.0,4.0,tbd,,TT Fusion,E10+,PS2,2004.0,Misc,Midway Games,0.33,0.26,0.0,0.09,0.68,74.0,28.0,tbd,,Backbone Entertainment,M
Midway Arcade Treasures 2,PS2,2004.0,Misc,Midway Games,0.33,0.26,0.0,0.09,0.68,74.0,28.0,tbd,,Backbone Entertainment,M,Wii,2012.0,Action,Nintendo,0.33,0.0,0.33,0.02,0.67,82.0,6.0,8.8,37.0,HAL Labs,E10+
Kirby's Dream Collection: Special Edition,Wii,2012.0,Action,Nintendo,0.33,0.0,0.33,0.02,0.67,82.0,6.0,8.8,37.0,HAL Labs,E10+,XB,2003.0,Shooter,Activision,0.49,0.16,0.0,0.02,0.67,84.0,38.0,8.8,33.0,Nerve Software,M
Return to Castle Wolfenstein: Tides of War,XB,2003.0,Shooter,Activision,0.49,0.16,0.0,0.02,0.67,84.0,38.0,8.8,33.0,Nerve Software,M,PC,2011.0,Role-Playing,Unknown,0.44,0.16,0.0,0.07,0.67,84.0,59.0,7.3,561.0,Trion Worlds,T
RIFT,PC,2011.0,Role-Playing,Unknown,0.44,0.16,0.0,0.07,0.67,84.0,59.0,7.3,561.0,Trion Worlds,T,PS3,2007.0,Platform,Activision,0.26,0.29,0.02,0.11,0.67,60.0,33.0,7,40.0,Treyarch,T
Spider-Man 3,PS3,2007.0,Platform,Activision,0.26,0.29,0.02,0.11,0.67,60.0,33.0,7,40.0,Treyarch,T,PS,1998.0,Sports,Electronic Arts,0.37,0.25,0.0,0.04,0.67,,,,,,
Street Sk8er,PS,1998.0,Sports,Electronic Arts,0.37,0.25,0.0,0.04,0.67,,,,,,,PC,2008.0,Role-Playing,Electronic Arts,0.0,0.59,0.0,0.08,0.67,89.0,45.0,8.6,2386.0,"BioWare, Demiurge Studios",M
Mass Effect,PC,2008.0,Role-Playing,Electronic Arts,0.0,0.59,0.0,0.08,0.67,89.0,45.0,8.6,2386.0,"BioWare, Demiurge Studios",M,PS,1996.0,Shooter,Konami Digital Entertainment,0.37,0.25,0.0,0.04,0.67,,,,,,
Contra: Legacy of War,PS,1996.0,Shooter,Konami Digital Entertainment,0.37,0.25,0.0,0.04,0.67,,,,,,,XB,2004.0,Fighting,Electronic Arts,0.46,0.18,0.0,0.03,0.67,,,,,,
Fight Night Round 2004,XB,2004.0,Fighting,Electronic Arts,0.46,0.18,0.0,0.03,0.67,,,,,,,PS3,2012.0,Action,Sony Computer Entertainment,0.14,0.39,0.0,0.15,0.67,,,,,,
Book of Spells,PS3,2012.0,Action,Sony Computer Entertainment,0.14,0.39,0.0,0.15,0.67,,,,,,,DS,2006.0,Misc,Rocket Company,0.0,0.0,0.67,0.0,0.67,,,,,,
Zaidan Houjin Nippon Kanji Nouryoko Kentei Kyoukai Kounin: KanKen DS,DS,2006.0,Misc,Rocket Company,0.0,0.0,0.67,0.0,0.67,,,,,,,PS,1998.0,Action,Sony Computer Entertainment,0.37,0.25,0.0,0.04,0.67,,,,,,
Spice World,PS,1998.0,Action,Sony Computer Entertainment,0.37,0.25,0.0,0.04,0.67,,,,,,,XOne,2014.0,Action,Bethesda Softworks,0.35,0.25,0.0,0.06,0.67,79.0,24.0,7.3,430.0,Tango Gameworks,M
The Evil Within,XOne,2014.0,Action,Bethesda Softworks,0.35,0.25,0.0,0.06,0.67,79.0,24.0,7.3,430.0,Tango Gameworks,M,PS2,2002.0,Simulation,Metro 3D,0.22,0.17,0.23,0.06,0.67,74.0,23.0,9,33.0,From Software,T
Armored Core 3,PS2,2002.0,Simulation,Metro 3D,0.22,0.17,0.23,0.06,0.67,74.0,23.0,9,33.0,From Software,T,XB,2005.0,Shooter,Activision,0.48,0.17,0.0,0.02,0.67,78.0,54.0,8.9,89.0,LucasArts,T
Star Wars: Republic Commando,XB,2005.0,Shooter,Activision,0.48,0.17,0.0,0.02,0.67,78.0,54.0,8.9,89.0,LucasArts,T,Wii,2008.0,Misc,Namco Bandai Games,0.0,0.0,0.67,0.0,0.67,,,,,,
Taiko no Tatsujin Wii,Wii,2008.0,Misc,Namco Bandai Games,0.0,0.0,0.67,0.0,0.67,,,,,,,PS3,2012.0,Sports,Sega,0.06,0.48,0.0,0.14,0.67,,,,,,
London 2012: The Official Video Game of the Olympic Games,PS3,2012.0,Sports,Sega,0.06,0.48,0.0,0.14,0.67,,,,,,,PS4,2014.0,Action,Warner Bros. Interactive Entertainment,0.24,0.31,0.01,0.11,0.67,71.0,31.0,7.1,98.0,TT Games,E10+
The LEGO Movie Videogame,PS4,2014.0,Action,Warner Bros. Interactive Entertainment,0.24,0.31,0.01,0.11,0.67,71.0,31.0,7.1,98.0,TT Games,E10+,PS3,2008.0,Action,Touchstone,0.35,0.21,0.01,0.1,0.67,67.0,38.0,6,39.0,Propaganda Games,M
Turok,PS3,2008.0,Action,Touchstone,0.35,0.21,0.01,0.1,0.67,67.0,38.0,6,39.0,Propaganda Games,M,PS,1999.0,Role-Playing,Sony Computer Entertainment,0.19,0.13,0.31,0.04,0.67,,,,,,
Wild ARMs 2,PS,1999.0,Role-Playing,Sony Computer Entertainment,0.19,0.13,0.31,0.04,0.67,,,,,,,X360,2013.0,Action,505 Games,0.35,0.27,0.0,0.06,0.67,81.0,39.0,7.2,139.0,Engine Software,T
Terraria,X360,2013.0,Action,505 Games,0.35,0.27,0.0,0.06,0.67,81.0,39.0,7.2,139.0,Engine Software,T,Wii,2006.0,Shooter,Ubisoft,0.54,0.03,0.04,0.05,0.67,63.0,54.0,6.8,121.0,Ubisoft Paris,T
Red Steel,Wii,2006.0,Shooter,Ubisoft,0.54,0.03,0.04,0.05,0.67,63.0,54.0,6.8,121.0,Ubisoft Paris,T,Wii,2008.0,Sports,Ubisoft,0.0,0.66,0.0,0.01,0.67,,,,,,
Summer Sports: Paradise Island (Others sales),Wii,2008.0,Sports,Ubisoft,0.0,0.66,0.0,0.01,0.67,,,,,,,PS3,2011.0,Racing,Electronic Arts,0.2,0.35,0.0,0.12,0.67,,,,,,
Need for Speed: Shift 2 Unleashed,PS3,2011.0,Racing,Electronic Arts,0.2,0.35,0.0,0.12,0.67,,,,,,,PS2,2003.0,Platform,THQ,0.33,0.25,0.0,0.09,0.67,,,,,,
The Fairly Odd Parents: Breakin Da Rules,PS2,2003.0,Platform,THQ,0.33,0.25,0.0,0.09,0.67,,,,,,,PSP,2005.0,Sports,Sega,0.16,0.36,0.0,0.14,0.67,,,,,,
Virtua Tennis: World Tour (US & Others sales),PSP,2005.0,Sports,Sega,0.16,0.36,0.0,0.14,0.67,,,,,,,PS3,2007.0,Shooter,Midway Games,0.33,0.23,0.0,0.1,0.67,86.0,42.0,7.7,127.0,Epic Games,M
Unreal Tournament III,PS3,2007.0,Shooter,Midway Games,0.33,0.23,0.0,0.1,0.67,86.0,42.0,7.7,127.0,Epic Games,M,2600,1981.0,Action,Mattel Interactive,0.63,0.03,0.0,0.01,0.67,,,,,,
Adventures of Tron,2600,1981.0,Action,Mattel Interactive,0.63,0.03,0.0,0.01,0.67,,,,,,,DS,2010.0,Role-Playing,Nintendo,0.31,0.0,0.34,0.02,0.67,68.0,8.0,7.1,11.0,"RED Entertainment, Artdink",E
Fossil Fighters: Champions,DS,2010.0,Role-Playing,Nintendo,0.31,0.0,0.34,0.02,0.67,68.0,8.0,7.1,11.0,"RED Entertainment, Artdink",E,DS,2010.0,Simulation,Electronic Arts,0.38,0.22,0.0,0.06,0.67,73.0,9.0,6.4,20.0,Exient Entertainment,E
The Sims 3,DS,2010.0,Simulation,Electronic Arts,0.38,0.22,0.0,0.06,0.67,73.0,9.0,6.4,20.0,Exient Entertainment,E,GBA,,Action,Disney Interactive Studios,0.48,0.18,0.0,0.01,0.67,66.0,7.0,6.8,5.0,Amaze Entertainment,E
"The Chronicles of Narnia: The Lion, The Witch and The Wardrobe",GBA,,Action,Disney Interactive Studios,0.48,0.18,0.0,0.01,0.67,66.0,7.0,6.8,5.0,Amaze Entertainment,E,Wii,2010.0,Action,Disney Interactive Studios,0.46,0.16,0.0,0.05,0.67,,,,,,
Disney Tangled,Wii,2010.0,Action,Disney Interactive Studios,0.46,0.16,0.0,0.05,0.67,,,,,,,PC,2008.0,Strategy,Electronic Arts,0.01,0.64,0.0,0.02,0.67,,,,,,
Command & Conquer: Red Alert 3,PC,2008.0,Strategy,Electronic Arts,0.01,0.64,0.0,0.02,0.67,,,,,,,DS,2006.0,Misc,IE Institute,0.0,0.0,0.66,0.0,0.66,,,,,,
Zaidan Houjin Nippon Kanji Nouryoku Kentei Kyoukai Koushiki Soft: 200 Mannin no KanKen: Tokoton Kanji Nou,DS,2006.0,Misc,IE Institute,0.0,0.0,0.66,0.0,0.66,,,,,,,PS,1999.0,Simulation,Take-Two Interactive,0.37,0.25,0.0,0.04,0.66,69.0,4.0,tbd,,Cunning Developments,E
Pro Pinball: Big Race USA,PS,1999.0,Simulation,Take-Two Interactive,0.37,0.25,0.0,0.04,0.66,69.0,4.0,tbd,,Cunning Developments,E,XB,2004.0,Sports,Electronic Arts,0.49,0.15,0.0,0.02,0.66,81.0,38.0,8.8,9.0,EA Tiburon,E
NFL Street,XB,2004.0,Sports,Electronic Arts,0.49,0.15,0.0,0.02,0.66,81.0,38.0,8.8,9.0,EA Tiburon,E,DS,2007.0,Role-Playing,Square Enix,0.22,0.01,0.42,0.02,0.66,77.0,41.0,7.2,25.0,Square Enix,E10+
Final Fantasy Crystal Chronicles: Ring of Fates,DS,2007.0,Role-Playing,Square Enix,0.22,0.01,0.42,0.02,0.66,77.0,41.0,7.2,25.0,Square Enix,E10+,Wii,2009.0,Action,Activision,0.59,0.03,0.0,0.05,0.66,62.0,12.0,7.2,11.0,Now Production,E
Bakugan: Battle Brawlers,Wii,2009.0,Action,Activision,0.59,0.03,0.0,0.05,0.66,62.0,12.0,7.2,11.0,Now Production,E,PS3,2006.0,Simulation,Ubisoft,0.35,0.22,0.0,0.1,0.66,67.0,26.0,6.9,9.0,Ubisoft,T
Blazing Angels: Squadrons of WWII,PS3,2006.0,Simulation,Ubisoft,0.35,0.22,0.0,0.1,0.66,67.0,26.0,6.9,9.0,Ubisoft,T,PSP,2006.0,Fighting,THQ,0.33,0.2,0.0,0.14,0.66,78.0,13.0,8.1,21.0,Yuke's,T
WWE SmackDown vs. RAW 2007,PSP,2006.0,Fighting,THQ,0.33,0.2,0.0,0.14,0.66,78.0,13.0,8.1,21.0,Yuke's,T,PS3,2014.0,Action,Activision,0.26,0.3,0.0,0.11,0.66,,,7,5.0,Toys for Bob,E10+
Skylanders: Trap Team,PS3,2014.0,Action,Activision,0.26,0.3,0.0,0.11,0.66,,,7,5.0,Toys for Bob,E10+,PS4,2015.0,Racing,Codemasters,0.09,0.45,0.03,0.1,0.66,65.0,46.0,6.3,43.0,Codemasters,E
F1 2015,PS4,2015.0,Racing,Codemasters,0.09,0.45,0.03,0.1,0.66,65.0,46.0,6.3,43.0,Codemasters,E,PS2,2007.0,Sports,Activision,0.55,0.02,0.0,0.09,0.66,65.0,6.0,6.6,17.0,Page 44 Studios,T
Tony Hawk's Proving Ground,PS2,2007.0,Sports,Activision,0.55,0.02,0.0,0.09,0.66,65.0,6.0,6.6,17.0,Page 44 Studios,T,PS3,2007.0,Shooter,Take-Two Interactive,0.2,0.33,0.0,0.13,0.66,80.0,35.0,7.7,107.0,Starbreeze,M
The Darkness,PS3,2007.0,Shooter,Take-Two Interactive,0.2,0.33,0.0,0.13,0.66,80.0,35.0,7.7,107.0,Starbreeze,M,Wii,2011.0,Misc,Funbox Media,0.58,0.04,0.0,0.05,0.66,,,tbd,,High Voltage Software,E10+
Country Dance,Wii,2011.0,Misc,Funbox Media,0.58,0.04,0.0,0.05,0.66,,,tbd,,High Voltage Software,E10+,PS2,2003.0,Sports,Sony Computer Entertainment,0.32,0.25,0.0,0.08,0.66,61.0,21.0,7.9,9.0,989 Sports,E
MLB 2004,PS2,2003.0,Sports,Sony Computer Entertainment,0.32,0.25,0.0,0.08,0.66,61.0,21.0,7.9,9.0,989 Sports,E,PS2,2007.0,Fighting,Atari,0.26,0.01,0.13,0.26,0.66,,,,,,
Naruto Shippuden: Ultimate Ninja 4,PS2,2007.0,Fighting,Atari,0.26,0.01,0.13,0.26,0.66,,,,,,,PC,2010.0,Simulation,Electronic Arts,0.01,0.54,0.0,0.11,0.66,,,6.5,17.0,The Sims Studio,T
The Sims 3: High-End Loft Stuff,PC,2010.0,Simulation,Electronic Arts,0.01,0.54,0.0,0.11,0.66,,,6.5,17.0,The Sims Studio,T,PS,1998.0,Sports,Electronic Arts,0.37,0.25,0.0,0.04,0.66,,,,,,
Tiger Woods PGA Tour 2000,PS,1998.0,Sports,Electronic Arts,0.37,0.25,0.0,0.04,0.66,,,,,,,PS,2001.0,Role-Playing,Electronic Arts,0.37,0.25,0.0,0.04,0.66,58.0,10.0,8.3,12.0,Delphine Software International,T
Darkstone,PS,2001.0,Role-Playing,Electronic Arts,0.37,0.25,0.0,0.04,0.66,58.0,10.0,8.3,12.0,Delphine Software International,T,PS2,2002.0,Sports,Electronic Arts,0.32,0.25,0.0,0.08,0.66,74.0,13.0,8,27.0,NuFX,E
NCAA March Madness 2003,PS2,2002.0,Sports,Electronic Arts,0.32,0.25,0.0,0.08,0.66,74.0,13.0,8,27.0,NuFX,E,XOne,2014.0,Role-Playing,Activision,0.36,0.24,0.0,0.06,0.66,,,,,,
Diablo III,XOne,2014.0,Role-Playing,Activision,0.36,0.24,0.0,0.06,0.66,,,,,,,XB,2003.0,Action,THQ,0.48,0.16,0.0,0.02,0.66,63.0,11.0,tbd,,Traveller's Tales,E
Finding Nemo,XB,2003.0,Action,THQ,0.48,0.16,0.0,0.02,0.66,63.0,11.0,tbd,,Traveller's Tales,E,PS2,2006.0,Strategy,Atari,0.55,0.02,0.0,0.09,0.66,69.0,32.0,2.9,52.0,Frontier Developments,E10+
Thrillville,PS2,2006.0,Strategy,Atari,0.55,0.02,0.0,0.09,0.66,69.0,32.0,2.9,52.0,Frontier Developments,E10+,DS,2011.0,Simulation,Activision,0.51,0.1,0.0,0.06,0.66,,,tbd,,Activision,E
Lalaloopsy,DS,2011.0,Simulation,Activision,0.51,0.1,0.0,0.06,0.66,,,tbd,,Activision,E,PS2,2000.0,Sports,Konami Digital Entertainment,0.0,0.0,0.66,0.0,0.66,,,,,,
Jikkyou World Soccer 2000 Final Edition,PS2,2000.0,Sports,Konami Digital Entertainment,0.0,0.0,0.66,0.0,0.66,,,,,,,GC,2005.0,Platform,Activision,0.52,0.13,0.0,0.02,0.66,70.0,21.0,tbd,,Toys for Bob,E10+
Madagascar,GC,2005.0,Platform,Activision,0.52,0.13,0.0,0.02,0.66,70.0,21.0,tbd,,Toys for Bob,E10+,X360,2010.0,Action,Konami Digital Entertainment,0.42,0.17,0.01,0.05,0.66,83.0,70.0,7.8,237.0,Mercury Steam,M
Castlevania: Lords of Shadow,X360,2010.0,Action,Konami Digital Entertainment,0.42,0.17,0.01,0.05,0.66,83.0,70.0,7.8,237.0,Mercury Steam,M,DS,2009.0,Adventure,GSP,0.18,0.43,0.0,0.05,0.66,,,,,,
Hidden Objects: Mystery Stories,DS,2009.0,Adventure,GSP,0.18,0.43,0.0,0.05,0.66,,,,,,,X360,2009.0,Sports,Electronic Arts,0.51,0.1,0.0,0.06,0.66,88.0,52.0,8.4,71.0,EA Canada,E10+
NHL 10,X360,2009.0,Sports,Electronic Arts,0.51,0.1,0.0,0.06,0.66,88.0,52.0,8.4,71.0,EA Canada,E10+,DS,2008.0,Misc,Nintendo,0.12,0.52,0.0,0.02,0.66,70.0,7.0,6,12.0,Genius Sonority Inc.,
100 Classic Books,DS,2008.0,Misc,Nintendo,0.12,0.52,0.0,0.02,0.66,70.0,7.0,6,12.0,Genius Sonority Inc.,,Wii,2012.0,Puzzle,Namco Bandai Games,0.0,0.0,0.66,0.0,0.66,,,,,,
Puzzler Brain Games,Wii,2012.0,Puzzle,Namco Bandai Games,0.0,0.0,0.66,0.0,0.66,,,,,,,Wii,2008.0,Puzzle,Ubisoft,0.18,0.4,0.0,0.08,0.66,,,tbd,,Gameloft,T
TV Show King Party,Wii,2008.0,Puzzle,Ubisoft,0.18,0.4,0.0,0.08,0.66,,,tbd,,Gameloft,T,GBA,2003.0,Role-Playing,Enix Corporation,0.0,0.0,0.64,0.02,0.66,,,,,,
Dragon Quest Monsters: Caravan Heart,GBA,2003.0,Role-Playing,Enix Corporation,0.0,0.0,0.64,0.02,0.66,,,,,,,GBA,2004.0,Adventure,Majesco Entertainment,0.47,0.18,0.0,0.01,0.66,,,tbd,,Gorilla Systems,E
Strawberry Shortcake: Summertime Adventure,GBA,2004.0,Adventure,Majesco Entertainment,0.47,0.18,0.0,0.01,0.66,,,tbd,,Gorilla Systems,E,PS2,2004.0,Fighting,Capcom,0.32,0.25,0.0,0.08,0.66,78.0,30.0,8.7,20.0,Capcom,T
Street Fighter Anniversary Collection,PS2,2004.0,Fighting,Capcom,0.32,0.25,0.0,0.08,0.66,78.0,30.0,8.7,20.0,Capcom,T,PS,1998.0,Role-Playing,Sony Computer Entertainment,0.37,0.25,0.0,0.04,0.66,,,,,,
Legend of Legaia,PS,1998.0,Role-Playing,Sony Computer Entertainment,0.37,0.25,0.0,0.04,0.66,,,,,,,X360,2012.0,Sports,Electronic Arts,0.51,0.1,0.0,0.05,0.66,83.0,44.0,6.6,86.0,Electronic Arts,E10+
NHL 13,X360,2012.0,Sports,Electronic Arts,0.51,0.1,0.0,0.05,0.66,83.0,44.0,6.6,86.0,Electronic Arts,E10+,PC,2010.0,Strategy,Sega,0.02,0.53,0.0,0.12,0.66,81.0,56.0,7.9,515.0,Creative Assembly,T
Napoleon: Total War,PC,2010.0,Strategy,Sega,0.02,0.53,0.0,0.12,0.66,81.0,56.0,7.9,515.0,Creative Assembly,T,PS4,2014.0,Action,Deep Silver,0.22,0.3,0.04,0.1,0.66,,,,,,
Metro: Last Light,PS4,2014.0,Action,Deep Silver,0.22,0.3,0.04,0.1,0.66,,,,,,,PSP,2009.0,Sports,Electronic Arts,0.5,0.08,0.0,0.08,0.66,,,7.8,5.0,EA Tiburon,E
Madden NFL 10,PSP,2009.0,Sports,Electronic Arts,0.5,0.08,0.0,0.08,0.66,,,7.8,5.0,EA Tiburon,E,WiiU,2013.0,Platform,Ubisoft,0.25,0.33,0.03,0.05,0.66,92.0,35.0,8.7,465.0,Ubisoft Montpellier,E10+
Rayman Legends,WiiU,2013.0,Platform,Ubisoft,0.25,0.33,0.03,0.05,0.66,92.0,35.0,8.7,465.0,Ubisoft Montpellier,E10+,GC,2003.0,Simulation,Electronic Arts,0.43,0.2,0.0,0.03,0.66,81.0,30.0,9,15.0,Maxis,T
The Sims: Bustin' Out,GC,2003.0,Simulation,Electronic Arts,0.43,0.2,0.0,0.03,0.66,81.0,30.0,9,15.0,Maxis,T,PC,2013.0,Shooter,Take-Two Interactive,0.29,0.3,0.0,0.07,0.66,94.0,68.0,8.5,7322.0,Irrational Games,M
BioShock Infinite,PC,2013.0,Shooter,Take-Two Interactive,0.29,0.3,0.0,0.07,0.66,94.0,68.0,8.5,7322.0,Irrational Games,M,2600,1982.0,Action,Activision,0.62,0.04,0.0,0.01,0.66,,,,,,
Keystone Kapers,2600,1982.0,Action,Activision,0.62,0.04,0.0,0.01,0.66,,,,,,,PSP,2007.0,Action,THQ,0.22,0.27,0.0,0.16,0.66,64.0,7.0,7.1,7.0,Locomotive Games,E
Ratatouille,PSP,2007.0,Action,THQ,0.22,0.27,0.0,0.16,0.66,64.0,7.0,7.1,7.0,Locomotive Games,E,PS3,2012.0,Action,Warner Bros. Interactive Entertainment,0.27,0.2,0.11,0.08,0.66,67.0,37.0,7.1,199.0,Grasshopper Manufacture,M
Lollipop Chainsaw,PS3,2012.0,Action,Warner Bros. Interactive Entertainment,0.27,0.2,0.11,0.08,0.66,67.0,37.0,7.1,199.0,Grasshopper Manufacture,M,PS3,2008.0,Strategy,Ubisoft,0.33,0.22,0.01,0.1,0.66,76.0,33.0,6.6,42.0,Ubisoft Shanghai,T
Tom Clancy's EndWar,PS3,2008.0,Strategy,Ubisoft,0.33,0.22,0.01,0.1,0.66,76.0,33.0,6.6,42.0,Ubisoft Shanghai,T,GBA,2002.0,Action,TDK Mediactive,0.47,0.17,0.0,0.01,0.66,71.0,7.0,7.4,5.0,TOSE,E
Shrek: Hassle at the Castle,GBA,2002.0,Action,TDK Mediactive,0.47,0.17,0.0,0.01,0.66,71.0,7.0,7.4,5.0,TOSE,E,PS2,2004.0,Role-Playing,Konami Digital Entertainment,0.17,0.13,0.3,0.05,0.66,63.0,44.0,7.3,47.0,KCET,T
Suikoden IV,PS2,2004.0,Role-Playing,Konami Digital Entertainment,0.17,0.13,0.3,0.05,0.66,63.0,44.0,7.3,47.0,KCET,T,PSP,2010.0,Action,Namco Bandai Games,0.03,0.0,0.62,0.0,0.66,71.0,30.0,7.9,35.0,"Shift, Bandai Namco Games",T
Gods Eater Burst,PSP,2010.0,Action,Namco Bandai Games,0.03,0.0,0.62,0.0,0.66,71.0,30.0,7.9,35.0,"Shift, Bandai Namco Games",T,PS3,2010.0,Action,Ubisoft Annecy,0.06,0.03,0.55,0.01,0.66,60.0,30.0,6.9,29.0,"Koei, Omega Force",M
Fist of the North Star: Ken's Rage,PS3,2010.0,Action,Ubisoft Annecy,0.06,0.03,0.55,0.01,0.66,60.0,30.0,6.9,29.0,"Koei, Omega Force",M,PS3,2014.0,Shooter,Electronic Arts,0.22,0.32,0.01,0.11,0.66,,,7.8,24.0,PopCap,E10+
