MAL_ID,Name,Score,Genres,English name,Japanese name,Type,Episodes,Aired,Premiered,Producers,Licensors,Studios,Source,Duration,Rating,Ranked,Popularity,Members,Favorites,Watching,Completed,On-Hold,Dropped,Plan to Watch,Score-10,Score-9,Score-8,Score-7,Score-6,Score-5,Score-4,Score-3,Score-2,Score-1
28,Yakitate!! Japan,7.95,"Comedy, Shounen",Yakitate!! Japan,焼きたて!! ジャぱん,TV,69,"Oct 12, 2004 to Mar 14, 2006",Fall 2004,"TV Tokyo, Aniplex, d-rights, Tohokushinsha Film Corporation, Atelier Musa",Nozomi Entertainment,Sunrise,Manga,24 min. per ep.,PG-13 - Teens 13 or older,609.0,1666,80183,887,5007,39992,5764,4633,24787,4347.0,7425.0,11074.0,7965.0,3038.0,1248.0,345.0,118.0,56.0,58.0
30,Neon Genesis Evangelion,8.32,"Action, Sci-Fi, Dementia, Psychological, Drama, Mecha",Neon Genesis Evangelion,新世紀エヴァンゲリオン,TV,26,"Oct 4, 1995 to Mar 27, 1996",Fall 1995,"TV Tokyo, Kadokawa Shoten, Nihon Ad Systems, Audio Tanaka","ADV Films, Netflix","Gainax, Tatsunoko Production",Original,24 min. per ep.,PG-13 - Teens 13 or older,208.0,54,1160651,71308,66549,815938,35566,20358,222240,186797.0,168056.0,157596.0,93532.0,38385.0,17571.0,9686.0,4408.0,3263.0,3714.0
33,Kenpuu Denki Berserk,8.49,"Action, Adventure, Demons, Drama, Fantasy, Horror, Military, Romance, Seinen, Supernatural",Berserk,剣風伝奇ベルセルク,TV,25,"Oct 8, 1997 to Apr 1, 1998",Fall 1997,"VAP, Hakusensha, Nippon Television Network","Media Blasters, NYAV Post",OLM,Manga,25 min. per ep.,R+ - Mild Nudity,108.0,301,432190,18567,19540,276588,12737,9406,113919,58627.0,65906.0,60815.0,29055.0,9477.0,3899.0,1748.0,671.0,456.0,842.0
45,Rurouni Kenshin: Meiji Kenkaku Romantan,8.31,"Action, Adventure, Comedy, Historical, Romance, Samurai, Shounen",Rurouni Kenshin,るろうに剣心 -明治剣客浪漫譚-,TV,94,"Jan 10, 1996 to Sep 8, 1998",Winter 1996,"Aniplex, SME Visual Works, Fuji TV",Media Blasters,"Gallop, Studio Deen",Manga,25 min. per ep.,PG-13 - Teens 13 or older,220.0,345,386195,11236,29540,216154,30655,18588,91258,38050.0,50380.0,57604.0,33295.0,10220.0,3867.0,1167.0,372.0,176.0,314.0
48,.hack//Sign,6.98,"Game, Sci-Fi, Adventure, Mystery, Magic, Fantasy",.hack//Sign,.hack//SIGN,TV,26,"Apr 4, 2002 to Sep 26, 2002",Spring 2002,"Bandai Visual, Yomiko Advertising, Bandai, CyberConnect2","Funimation, Bandai Entertainment",Bee Train,Original,24 min. per ep.,PG-13 - Teens 13 or older,3687.0,940,158227,1359,6733,91528,8315,11881,39770,5266.0,8051.0,15537.0,20391.0,12617.0,7610.0,3688.0,1502.0,825.0,619.0
50,Aa! Megami-sama! (TV),7.35,"Comedy, Supernatural, Magic, Romance, Seinen",Ah! My Goddess,ああっ女神さまっ,TV,24,"Jan 7, 2005 to Jul 8, 2005",Winter 2005,"Bandai Visual, TBS, Imagine","Media Blasters, NYAV Post",AIC,Manga,24 min. per ep.,PG-13 - Teens 13 or older,2116.0,1083,135747,1124,5841,85884,6517,7971,29534,5425.0,9097.0,17037.0,20033.0,10160.0,5221.0,1678.0,591.0,291.0,214.0
52,Kidou Tenshi Angelic Layer,7.26,"Sci-Fi, Comedy, Sports, Drama, Shounen",Battle Doll Angelic Layer,機動天使エンジェリックレイヤー,TV,26,"Apr 1, 2001 to Sep 23, 2001",Spring 2001,TV Tokyo Music,"ADV Films, Sentai Filmworks",Bones,Manga,24 min. per ep.,PG-13 - Teens 13 or older,2529.0,2232,51022,290,1653,32978,2615,2852,10924,1644.0,3245.0,6253.0,7975.0,4261.0,2092.0,579.0,211.0,89.0,87.0
53,Ai Yori Aoshi,7.14,"Harem, Slice of Life, Comedy, Drama, Romance",Ai Yori Aoshi,藍より青し,TV,24,"Apr 11, 2002 to Sep 26, 2002",Spring 2002,"Movic, Fuji TV, Pioneer LDC, Cosmic Ray","Funimation, Geneon Entertainment USA",J.C.Staff,Manga,23 min. per ep.,PG-13 - Teens 13 or older,3012.0,1465,94793,458,4111,60075,4160,5814,20633,3124.0,5402.0,10587.0,13835.0,8066.0,4414.0,1627.0,609.0,287.0,206.0
57,Beck,8.31,"Comedy, Drama, Music, Shounen, Slice of Life",Beck:Mongolian Chop Squad,ベック,TV,26,"Oct 7, 2004 to Mar 31, 2005",Fall 2004,"Marvelous, Starchild Records, Asatsu DK, Kodansha",Funimation,Madhouse,Manga,25 min. per ep.,R - 17+ (violence & profanity),221.0,570,255668,7038,10580,133432,10190,8488,92978,23840.0,31103.0,30926.0,17566.0,6598.0,3000.0,1173.0,446.0,225.0,235.0
58,Blue Gender,7.05,"Adventure, Romance, Mecha, Military, Sci-Fi, Horror, Space, Drama",Blue Gender,BLUE GENDER,TV,26,"Oct 8, 1999 to Mar 31, 2000",Fall 1999,"Youmex, Toshiba EMI",Funimation,AIC,Original,23 min. per ep.,R+ - Mild Nudity,3455.0,1886,65360,389,2738,31583,2534,3195,25310,1451.0,2733.0,5800.0,7810.0,4354.0,2327.0,1012.0,381.0,229.0,168.0
59,Chobits,7.43,"Sci-Fi, Comedy, Drama, Romance, Ecchi, Seinen",Chobits,ちょびっツ,TV,26,"Apr 3, 2002 to Sep 25, 2002",Spring 2002,"TBS, Pioneer LDC","Funimation, Geneon Entertainment USA",Madhouse,Manga,24 min. per ep.,PG-13 - Teens 13 or older,1804.0,332,402646,3859,15294,272425,18082,22409,74436,20499.0,32733.0,55560.0,58689.0,29800.0,14855.0,5772.0,2124.0,1159.0,816.0
60,Chrno Crusade,7.66,"Action, Demons, Historical, Romance, Shounen, Supernatural",Chrono Crusade,クロノクルセイド,TV,24,"Nov 25, 2003 to Jun 10, 2004",Fall 2003,"Lantis, Kadokawa Shoten, Fuji TV","ADV Films, Funimation",Gonzo,Manga,23 min. per ep.,R - 17+ (violence & profanity),1120.0,742,198007,2064,8228,117484,9881,9842,52572,11469.0,16051.0,25109.0,23075.0,11012.0,5331.0,1919.0,652.0,280.0,256.0
61,D.N.Angel,7.2,"Action, Comedy, Magic, Romance, Fantasy, School, Shoujo",D.N.Angel,Ｄ・Ｎ・ＡＮＧＥＬ,TV,26,"Apr 3, 2003 to Sep 25, 2003",Spring 2003,Kadokawa Shoten,"ADV Films, Discotek Media",Xebec,Manga,23 min. per ep.,PG-13 - Teens 13 or older,2761.0,891,167615,1523,5183,117045,7599,11057,26731,7515.0,11105.0,19858.0,25101.0,15032.0,8167.0,3203.0,1092.0,595.0,378.0
63,DearS,6.62,"Sci-Fi, Harem, Comedy, Romance, Ecchi, Shounen",DearS,ディアーズ,TV,12,"Jul 11, 2004 to Sep 26, 2004",Summer 2004,"Bandai Visual, Hal Film Maker, Genco, Lantis","Discotek Media, Geneon Entertainment USA",Daume,Manga,23 min. per ep.,R+ - Mild Nudity,5274.0,1146,128788,391,3766,95113,3066,5507,21336,3464.0,5632.0,11499.0,19352.0,14791.0,8839.0,4070.0,1863.0,1029.0,730.0
64,Rozen Maiden,7.44,"Action, Comedy, Drama, Magic, Seinen",Rozen Maiden,ローゼンメイデン,TV,12,"Oct 8, 2004 to Dec 24, 2004",Fall 2004,"Mellow Head, Pony Canyon, TBS, Memory-Tech, Studio Jack","Sentai Filmworks, Geneon Entertainment USA",Nomad,Manga,24 min. per ep.,PG-13 - Teens 13 or older,1782.0,846,176775,2074,5599,113914,6040,7852,43370,7868.0,12729.0,23021.0,23961.0,11535.0,5531.0,2028.0,737.0,387.0,292.0
65,Rozen Maiden: Träumend,7.65,"Action, Comedy, Drama, Magic, Seinen",Rozen Maiden:Träumend,ローゼンメイデン トロイメント,TV,12,"Oct 21, 2005 to Jan 27, 2006",Fall 2005,"Mellow Head, TBS","Sentai Filmworks, Geneon Entertainment USA",Nomad,Manga,24 min. per ep.,PG-13 - Teens 13 or older,1146.0,1479,93768,516,2006,73523,2114,1647,14478,5500.0,9205.0,15835.0,14172.0,5733.0,2345.0,760.0,255.0,95.0,97.0
66,Azumanga Daioh,7.98,"Slice of Life, Comedy, School",Azumanga Daioh:The Animation,あずまんが大王 THE ANIMATION,TV,26,"Apr 9, 2002 to Oct 1, 2002",Spring 2002,"Genco, Lantis, Imagica, TV Tokyo Music, Cosmic Ray, King Records","ADV Films, Sentai Filmworks",J.C.Staff,4-koma manga,24 min. per ep.,PG-13 - Teens 13 or older,555.0,554,262980,5181,13747,143431,16133,13115,76554,18422.0,27283.0,35693.0,25478.0,10326.0,5162.0,1797.0,707.0,406.0,412.0
67,Basilisk: Kouga Ninpou Chou,7.58,"Action, Adventure, Historical, Supernatural, Romance, Samurai, Fantasy",Basilisk,バジリスク 甲賀忍法帖,TV,24,"Apr 13, 2005 to Sep 21, 2005",Spring 2005,"GDH, Kodansha, Sotsu Music Publishing",Funimation,Gonzo,Manga,24 min. per ep.,R - 17+ (violence & profanity),1325.0,940,156661,1467,6964,82153,6380,6957,54207,6677.0,11140.0,19570.0,17421.0,7816.0,3800.0,1554.0,643.0,316.0,244.0
68,Black Cat (TV),7.38,"Sci-Fi, Adventure, Comedy, Super Power, Shounen",Black Cat,ブラックキャット,TV,23,"Oct 7, 2005 to Mar 31, 2006",Fall 2005,"GDH, Dentsu, TBS, Sotsu Music Publishing",Funimation,Gonzo,Manga,24 min. per ep.,PG-13 - Teens 13 or older,1965.0,622,231668,1955,10510,142921,11736,11003,55498,8654.0,15253.0,29392.0,34019.0,16081.0,7534.0,2521.0,863.0,395.0,234.0
71,Full Metal Panic!,7.65,"Action, Military, Sci-Fi, Comedy, Mecha",Full Metal Panic!,フルメタル・パニック！,TV,24,"Jan 8, 2002 to Jun 18, 2002",Winter 2002,Kadokawa Shoten,"ADV Films, Funimation",Gonzo,Light novel,24 min. per ep.,R - 17+ (violence & profanity),1146.0,322,411230,4417,17458,264665,16076,13806,99225,17675.0,36500.0,64969.0,56993.0,21492.0,9171.0,3035.0,991.0,448.0,329.0
72,Full Metal Panic? Fumoffu,8.07,"Action, Comedy, School",Full Metal Panic? Fumoffu,フルメタル・パニック? ふもっふ,TV,12,"Aug 26, 2003 to Oct 18, 2003",Summer 2003,"Tatsunoko Production, Kadokawa Shoten, Fuji TV, Imagica, Rakuonsha, Kadokawa Pictures Japan, KlockWorx, Happinet Pictures, Animation Do","ADV Films, Funimation",Kyoto Animation,Light novel,24 min. per ep.,PG-13 - Teens 13 or older,452.0,571,254465,2988,5383,204041,4435,3533,37073,24023.0,37507.0,45884.0,30305.0,11085.0,4417.0,1332.0,442.0,194.0,164.0
73,Full Metal Panic! The Second Raid,7.96,"Action, Military, Mecha",Full Metal Panic! The Second Raid,フルメタル パニック！The Second Raid,TV,13,"Jul 14, 2005 to Oct 20, 2005",Summer 2005,"Kadokawa Shoten, Happinet Pictures","ADV Films, Funimation, Kadokawa Pictures USA",Kyoto Animation,Light novel,24 min. per ep.,R - 17+ (violence & profanity),579.0,639,227927,1358,4667,177524,3840,2271,39625,14139.0,30146.0,45246.0,29917.0,9377.0,3127.0,816.0,235.0,115.0,129.0
74,Gakuen Alice,7.65,"Comedy, School, Shoujo, Super Power",Gakuen Alice,学園アリス,TV,26,"Oct 30, 2004 to May 14, 2005",Fall 2004,"Aniplex, Sogo Vision",Nozomi Entertainment,Group TAC,Manga,25 min. per ep.,G - All Ages,1158.0,1640,81446,1613,2495,57369,2843,2916,15823,5560.0,7151.0,11074.0,11158.0,5331.0,2357.0,618.0,214.0,115.0,104.0
75,Soukyuu no Fafner: Dead Aggressor,7.3,"Action, Drama, Mecha, Military, Sci-Fi",Fafner of the Blue Sky,蒼穹のファフナーDead Aggressor,TV,25,"Jul 5, 2004 to Dec 27, 2004",Summer 2004,"TV Tokyo Music, King Records","Funimation, Geneon Entertainment USA",Xebec,Original,24 min. per ep.,PG-13 - Teens 13 or older,2348.0,2523,40602,255,2179,16417,1849,1987,18170,926.0,1667.0,3344.0,3838.0,1827.0,955.0,424.0,184.0,94.0,71.0
76,Mahou Shoujo Lyrical Nanoha,7.42,"Action, Comedy, Drama, Magic, Super Power",Magical Girl Lyrical Nanoha,魔法少女リリカルなのは,TV,13,"Oct 3, 2004 to Dec 26, 2004",Fall 2004,"Starchild Records, Omnibus Japan",Geneon Entertainment USA,Seven Arcs,Original,25 min. per ep.,PG-13 - Teens 13 or older,1828.0,1550,88890,1036,3287,47731,2865,2625,32382,3193.0,5032.0,9945.0,10737.0,4999.0,2363.0,736.0,276.0,140.0,112.0
77,Mahou Shoujo Lyrical Nanoha A's,7.99,"Action, Comedy, Drama, Magic, Super Power",Magical Girl Lyrical Nanoha A's,魔法少女リリカルなのは エース,TV,13,"Oct 2, 2005 to Dec 25, 2005",Fall 2005,"Starchild Records, Omnibus Japan",Geneon Entertainment USA,Seven Arcs,Original,25 min. per ep.,PG-13 - Teens 13 or older,551.0,2075,56981,1014,1367,40165,1088,828,13533,4189.0,6809.0,9368.0,6267.0,2220.0,864.0,250.0,83.0,53.0,71.0
79,Shuffle!,7.09,"Harem, Comedy, Drama, Magic, Romance, Ecchi, Fantasy, School, Seinen",Shuffle!,SHUFFLE! (シャッフル!),TV,24,"Jul 8, 2005 to Jan 6, 2006",Summer 2005,"Xebec, Lantis, Memory-Tech",Funimation,Asread,Visual novel,23 min. per ep.,R+ - Mild Nudity,3231.0,600,240751,1572,10943,151944,9558,13227,55079,8852.0,14660.0,26443.0,32343.0,18951.0,10530.0,5019.0,2184.0,1323.0,1088.0
80,Mobile Suit Gundam,7.78,"Action, Military, Sci-Fi, Space, Mecha",Mobile Suit Gundam,機動戦士ガンダム,TV,43,"Apr 7, 1979 to Jan 26, 1980",Spring 1979,"Sotsu, Nagoya Broadcasting Network","Nozomi Entertainment, Bandai Entertainment",Sunrise,Original,25 min. per ep.,PG-13 - Teens 13 or older,867.0,1427,97216,1787,7737,52669,5473,3100,28237,5395.0,7488.0,12922.0,11417.0,4169.0,1598.0,505.0,179.0,59.0,104.0
85,Mobile Suit Zeta Gundam,7.92,"Military, Sci-Fi, Space, Drama, Romance, Mecha",Mobile Suit Zeta Gundam,機動戦士Ζガンダム,TV,50,"Mar 2, 1985 to Feb 22, 1986",Spring 1985,"Sotsu, Nagoya Broadcasting Network","Nozomi Entertainment, Bandai Entertainment",Sunrise,Original,24 min. per ep.,PG-13 - Teens 13 or older,655.0,2159,53822,1721,3912,32798,2628,1049,13435,4021.0,5901.0,7986.0,5578.0,2118.0,896.0,392.0,152.0,65.0,97.0
86,Mobile Suit Gundam ZZ,6.66,"Space, Comedy, Mecha, Military, Drama, Sci-Fi",Mobile Suit Gundam ZZ,機動戦士ガンダムZZ,TV,47,"Mar 1, 1986 to Jan 31, 1987",Spring 1986,"Sotsu, Nagoya Broadcasting Network",Nozomi Entertainment,Sunrise,Original,24 min. per ep.,PG-13 - Teens 13 or older,5111.0,2941,30758,130,1647,18408,1354,917,8432,622.0,1062.0,2740.0,4440.0,2977.0,1601.0,930.0,372.0,182.0,115.0
89,Mobile Suit Victory Gundam,6.76,"Drama, Mecha, Military, Sci-Fi, Space",Mobile Suit V Gundam,機動戦士Vガンダム,TV,51,"Apr 2, 1993 to Mar 25, 1994",Spring 1993,"TV Asahi, Sotsu, Apollon",Nozomi Entertainment,"Sunrise, Studio Deen",Original,24 min. per ep.,PG-13 - Teens 13 or older,4632.0,3588,20794,95,1225,10068,1094,628,7779,430.0,735.0,1589.0,2272.0,1406.0,796.0,487.0,240.0,90.0,89.0
90,Mobile Suit Gundam Wing,7.72,"Action, Military, Sci-Fi, Space, Drama, Mecha",Mobile Suit Gundam Wing,新機動戦記ガンダムW,TV,49,"Apr 7, 1995 to Mar 29, 1996",Spring 1995,TV Asahi,Bandai Entertainment,Sunrise,Original,24 min. per ep.,PG-13 - Teens 13 or older,984.0,1118,132208,2538,5922,95155,5945,4411,20775,9965.0,13704.0,21396.0,18315.0,7559.0,3460.0,1507.0,518.0,210.0,175.0
92,After War Gundam X,7.32,"Sci-Fi, Adventure, Space, Drama, Mecha",After War Gundam X,機動新世紀ガンダムX,TV,39,"Apr 5, 1996 to Dec 28, 1996",Spring 1996,"TV Asahi, Sotsu",Nozomi Entertainment,Sunrise,Original,24 min. per ep.,PG-13 - Teens 13 or older,2228.0,3043,28862,189,1554,15987,1746,983,8592,788.0,1633.0,3412.0,3998.0,1801.0,813.0,304.0,100.0,43.0,39.0
93,Mobile Suit Gundam SEED,7.79,"Action, Drama, Mecha, Military, Romance, Sci-Fi, Space",Mobile Suit Gundam SEED,機動戦士ガンダムSEED,TV,50,"Oct 5, 2002 to Sep 27, 2003",Fall 2002,"Sotsu, Asatsu DK, Mainichi Broadcasting System, Sony Music Entertainment, Atelier Musa","Bandai Entertainment, NYAV Post",Sunrise,Original,24 min. per ep.,R - 17+ (violence & profanity),850.0,1057,140346,3584,4898,101920,4589,5021,23918,11353.0,15863.0,22505.0,17695.0,7560.0,3710.0,1701.0,762.0,379.0,404.0
95,Turn A Gundam,7.7,"Action, Military, Sci-Fi, Adventure, Space, Drama, Romance, Mecha",∀ Gundam,∀ガンダム,TV,50,"Apr 9, 1999 to Apr 14, 2000",Spring 1999,"Sotsu, Fuji TV",Nozomi Entertainment,"Sunrise, Nakamura Production",Original,24 min. per ep.,PG-13 - Teens 13 or older,1018.0,2714,35670,760,2378,14651,2327,1448,14866,1815.0,2212.0,3129.0,2892.0,1403.0,706.0,299.0,127.0,87.0,66.0
96,Mobile Fighter G Gundam,7.56,"Adventure, Comedy, Drama, Martial Arts, Mecha, Romance, Sci-Fi, Space, Sports",Mobile Fighter G Gundam,機動武闘伝Gガンダム,TV,49,"Apr 1, 1994 to Mar 31, 1995",Spring 1994,"TV Asahi, Sotsu",Bandai Entertainment,Sunrise,Original,24 min. per ep.,PG-13 - Teens 13 or older,1396.0,2109,55463,896,2499,38653,2505,1607,10199,3208.0,4873.0,8426.0,8118.0,3463.0,1607.0,696.0,279.0,129.0,104.0
97,Last Exile,7.82,"Action, Sci-Fi, Adventure",Last Exile,LAST EXILE（ラストエグザイル）,TV,26,"Apr 8, 2003 to Sep 30, 2003",Spring 2003,"GDH, Victor Entertainment, TV Tokyo Music","Funimation, Geneon Entertainment USA",Gonzo,Original,24 min. per ep.,PG-13 - Teens 13 or older,795.0,995,149528,1848,5943,77235,6541,5038,54771,7078.0,12558.0,20122.0,14844.0,5886.0,2579.0,825.0,286.0,140.0,109.0
98,Mai-HiME,7.46,"Action, Comedy, Drama, Fantasy, Magic, Mecha, Romance, School, Shoujo Ai",My-Hime,舞-HiME,TV,26,"Sep 30, 2004 to Mar 31, 2005",Fall 2004,"Bandai Visual, TV Tokyo Music, Studio Zain","Funimation, Bandai Entertainment",Sunrise,Original,23 min. per ep.,PG-13 - Teens 13 or older,1698.0,1381,101495,1262,3442,60321,3690,4215,29827,4076.0,7287.0,12622.0,12897.0,6091.0,3053.0,1129.0,391.0,211.0,191.0
99,Mai-Otome,7.31,"Comedy, Drama, Fantasy, Magic",My-Otome,舞-乙HiME,TV,26,"Oct 7, 2005 to Mar 31, 2006",Fall 2005,"Bandai Visual, Lantis, TV Tokyo Music","Funimation, Bandai Entertainment",Sunrise,Original,24 min. per ep.,PG-13 - Teens 13 or older,2308.0,2370,46018,333,1147,31335,1222,1598,10716,1673.0,3271.0,5798.0,6647.0,3441.0,1676.0,706.0,242.0,128.0,101.0
100,Shin Shirayuki-hime Densetsu Prétear,7.2,"Comedy, Drama, Fantasy, Magic, Romance, Shoujo, Super Power",Prétear:The New Legend of Snow White,新白雪姫伝説プリーティア,TV,13,"Apr 4, 2001 to Jun 27, 2001",Spring 2001,"Kadokawa Shoten, Rondo Robe","ADV Films, Funimation",Hal Film Maker,Manga,23 min. per ep.,PG-13 - Teens 13 or older,2785.0,2162,53508,457,1607,33827,1504,1760,14810,2198.0,3135.0,5368.0,7030.0,4152.0,2306.0,783.0,270.0,127.0,98.0
101,Air,7.32,"Slice of Life, Supernatural, Drama, Romance",Air,AIR,TV,12,"Jan 7, 2005 to Mar 25, 2005",Winter 2005,"Pony Canyon, TBS, Movic","ADV Films, Funimation",Kyoto Animation,Visual novel,24 min. per ep.,PG-13 - Teens 13 or older,2230.0,563,259381,2704,7367,170036,8109,9992,63877,15057.0,20060.0,31042.0,33295.0,19368.0,10463.0,4988.0,2039.0,1105.0,803.0
104,Ayashi no Ceres,7.23,"Adventure, Comedy, Horror, Psychological, Supernatural, Drama, Romance, Shoujo","Ceres, Celestial Legend",妖しのセレス,TV,24,"Apr 20, 2000 to Sep 28, 2000",Spring 2000,Bandai Visual,"VIZ Media, Discotek Media",Studio Pierrot,Manga,21 min. per ep.,R - 17+ (violence & profanity),2641.0,2182,53189,535,2099,31162,2479,3400,14049,2450.0,3244.0,5415.0,6299.0,3891.0,2210.0,923.0,322.0,216.0,149.0
107,Ou Dorobou Jing,7.23,"Adventure, Comedy, Fantasy, Sci-Fi, Shounen",Jing:King of Bandits,王ドロボウ JING,TV,13,"May 15, 2002 to Aug 14, 2002",Spring 2002,Aniplex,ADV Films,Studio Deen,Manga,24 min. per ep.,PG-13 - Teens 13 or older,2625.0,2817,32988,210,1343,16532,1452,1714,11947,1207.0,1611.0,2900.0,3598.0,2020.0,1075.0,433.0,186.0,101.0,56.0
109,Bakuretsu Tenshi,6.81,"Adventure, Comedy, Mecha, Sci-Fi",Burst Angel,爆裂天使,TV,24,"Apr 7, 2004 to Sep 15, 2004",Spring 2004,"GDH, TV Asahi, Imagica",Funimation,Gonzo,Original,23 min. per ep.,PG-13 - Teens 13 or older,4381.0,1965,62106,257,2789,34321,3539,4492,16965,1383.0,2510.0,5383.0,8232.0,5547.0,3386.0,1514.0,575.0,283.0,185.0
111,Corrector Yui,6.83,"Sci-Fi, Adventure, Comedy, Magic",Corrector Yui,コレクター・ユイ,TV,52,"Apr 9, 1999 to Oct 20, 2000",Spring 1999,"NHK, Studio Tron",VIZ Media,Nippon Animation,Original,25 min. per ep.,PG - Children,4318.0,4519,12222,50,463,6825,661,963,3310,288.0,424.0,929.0,1531.0,1205.0,635.0,217.0,90.0,32.0,29.0
113,Uchuu no Stellvia,7.38,"Action, Mecha, Romance, Sci-Fi, Space",Stellvia,宇宙のステルヴィア,TV,26,"Apr 3, 2003 to Sep 25, 2003",Spring 2003,"Starchild Records, TV Tokyo Music","Discotek Media, Geneon Entertainment USA",Xebec,Original,23 min. per ep.,PG-13 - Teens 13 or older,1980.0,3577,20924,127,820,10722,957,960,7465,602.0,1185.0,2345.0,2383.0,1088.0,624.0,190.0,77.0,32.0,38.0
